Rv1603	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase(hisA)
COG_ONTOLOGY	120000115$Transcription,
GOTERM_BP_DIRECT	300001494$GO:0006355~regulation of transcription, DNA-templated,300004498$GO:0019217~regulation of fatty acid metabolic process,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530000441$IPR000551:Transcription regulator HTH, MerR,530007738$IPR009061:DNA binding domain, putative,530013001$IPR015358:Transcription regulator MerR, DNA binding,
SMART	790000358$SM00422:HTH_MERR,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1811	Mg2+ transport P-type ATPase MgtC(mgtC)
COG_ONTOLOGY	120000070$Function unknown,
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
INTERPRO	530002785$IPR003416:MgtC/SapB/SrpB transporter,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv0362	Mg2+ transport transmembrane protein MgtE(mgtE)
COG_ONTOLOGY	120000075$Inorganic ion transport and metabolism,
GOTERM_BP_DIRECT	300003889$GO:0015693~magnesium ion transport,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460002350$GO:0015095~magnesium ion transmembrane transporter activity,460005313$GO:0046872~metal ion binding,
INTERPRO	530000516$IPR000644:Cystathionine beta-synthase, core,530005682$IPR006667:SLC41 divalent cation transporters, integral membrane domain,530005683$IPR006668:Magnesium transporter, MgtE intracellular domain,530005684$IPR006669:Divalent cation transporter,
SMART	790000102$SM00116:CBS,790000809$SM00924:SM00924,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000670$Magnesium,870000683$Membrane,870000691$Metal-binding,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,

Rv3145	NADH-quinone oxidoreductase subunit A(nuoA)
GOTERM_BP_DIRECT	300001846$GO:0006810~transport,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460001607$GO:0008137~NADH dehydrogenase (ubiquinone) activity,460005885$GO:0048038~quinone binding,
INTERPRO	530000349$IPR000440:NADH:ubiquinone/plastoquinone oxidoreductase, chain 3,530019508$IPR023043:NAD(P)H-quinone oxidoreductase subunit 3, bacterial/plastid,
KEGG_PATHWAY	550041918$mtu00190:Oxidative phosphorylation,550041998$mtu01100:Metabolic pathways,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000753$NAD,870000802$Oxidoreductase,870000921$Quinone,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,
UP_SEQ_FEATURE	880027789$chain:NADH-quinone oxidoreductase subunit A,880089084$transmembrane region,

Rv3045	NADP-dependent alcohol dehydrogenase(adhC)
COG_ONTOLOGY	120000073$General function prediction only,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460001585$GO:0008106~alcohol dehydrogenase (NADP+) activity,460001672$GO:0008270~zinc ion binding,460002784$GO:0016491~oxidoreductase activity,
INTERPRO	530001724$IPR002085:Alcohol dehydrogenase superfamily, zinc-type,530001930$IPR002328:Alcohol dehydrogenase, zinc-type, conserved site,530009466$IPR011032:GroES-like,530011120$IPR013149:Alcohol dehydrogenase, C-terminal,530011125$IPR013154:Alcohol dehydrogenase GroES-like,530013409$IPR016040:NAD(P)-binding domain,530017482$IPR020843:Polyketide synthase, enoylreductase,
SMART	790000714$SM00829:SM00829,
UP_KEYWORDS	870000030$Acetylation,870000251$Complete proteome,870000610$Isopeptide bond,870000691$Metal-binding,870000754$NADP,870000802$Oxidoreductase,870000928$Reference proteome,870001125$Ubl conjugation,870001206$Zinc,
UP_SEQ_FEATURE	880027861$chain:NADP-dependent alcohol dehydrogenase C,880079606$metal ion-binding site:Zinc 1; catalytic,880079612$metal ion-binding site:Zinc 2,

Rv2287	Na(+)/H(+) transporter(yjcE)
GOTERM_BP_DIRECT	300001850$GO:0006814~sodium ion transport,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460002493$GO:0015299~solute:proton antiporter activity,
INTERPRO	530003919$IPR004705:Cation/H+ exchanger, CPA1 family, bacteria,530005222$IPR006153:Cation/H+ exchanger,530015471$IPR018422:Cation/H+ exchanger, CPA1 family,
UP_KEYWORDS	870000080$Antiport,870000190$Cell membrane,870000251$Complete proteome,870000603$Ion transport,870000683$Membrane,870000928$Reference proteome,870000999$Sodium,870001001$Sodium transport,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,
UP_SEQ_FEATURE	880058134$chain:Uncharacterized Na(+)/H(+) exchanger Rv2287/MT2345,880089084$transmembrane region,

Rv1195	PE family protein PE13(PE13)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000194$Cell wall,870000251$Complete proteome,870000928$Reference proteome,870000970$Secreted,870001183$Virulence,

Rv1386	PE family protein PE15(PE15)
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000970$Secreted,870001183$Virulence,
UP_SEQ_FEATURE	880058323$chain:Uncharacterized PE family protein PE15,880088358$signal peptide,

Rv1430	PE family protein PE16(PE16)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,530011184$IPR013228:PE-PPE, C-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1646	PE family protein PE17(PE17)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3477	PE family protein PE31(PE31)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv0109	PE-PGRS family protein PE_PGRS1(PE_PGRS1)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv0832	PE-PGRS family protein PE_PGRS12(PE_PGRS12)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv0124	PE-PGRS family protein PE_PGRS2(PE_PGRS2)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv1087	PE-PGRS family protein PE_PGRS21(PE_PGRS21)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1091	PE-PGRS family protein PE_PGRS22(PE_PGRS22)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1768	PE-PGRS family protein PE_PGRS31(PE_PGRS31)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv1983	PE-PGRS family protein PE_PGRS35(PE_PGRS35)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880058331$chain:Uncharacterized PE-PGRS family protein PE_PGRS35,880075986$compositionally biased region:Ala-rich,880089084$transmembrane region,

Rv2741	PE-PGRS family protein PE_PGRS47(PE_PGRS47)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000492$Host cytoplasm,870000928$Reference proteome,870000970$Secreted,870001183$Virulence,

Rv0297	PE-PGRS family protein PE_PGRS5(PE_PGRS5)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3367	PE-PGRS family protein PE_PGRS51(PE_PGRS51)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv3388	PE-PGRS family protein PE_PGRS52(PE_PGRS52)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv3508	PE-PGRS family protein PE_PGRS54(PE_PGRS54)
INTERPRO	530000064$IPR000084:PE-PGRS family, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000935$Repeat,
UP_SEQ_FEATURE	880058335$chain:Uncharacterized PE-PGRS family protein PE_PGRS54,880088358$signal peptide,

Rv0453	PPE family protein PPE11(PPE11)
COG_ONTOLOGY	120000037$Cell motility and secretion,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000365$GO:0005829~cytosol,
INTERPRO	530000021$IPR000030:PPE family,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880058390$chain:Uncharacterized PPE family protein PPE11,880075986$compositionally biased region:Ala-rich,880087857$sequence conflict,

Rv0280	PPE family protein PPE3(PPE3)
COG_ONTOLOGY	120000037$Cell motility and secretion,
INTERPRO	530000021$IPR000030:PPE family,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880058407$chain:Uncharacterized PPE family protein PPE3,880075986$compositionally biased region:Ala-rich,880087857$sequence conflict,

Rv1808	PPE family protein PPE32(PPE32)
INTERPRO	530000021$IPR000030:PPE family,530018729$IPR022171:PPE family, C-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880058409$chain:Uncharacterized PPE family protein PPE32,880075986$compositionally biased region:Ala-rich,

Rv3136	PPE family protein PPE51(PPE51)
COG_ONTOLOGY	120000037$Cell motility and secretion,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,
INTERPRO	530000021$IPR000030:PPE family,530018729$IPR022171:PPE family, C-terminal,
UP_KEYWORDS	870000030$Acetylation,870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880058422$chain:Uncharacterized PPE family protein PPE51,880075986$compositionally biased region:Ala-rich,

Rv0145	S-adenosylmethionine-dependent methyltransferase(Rv0145)
GOTERM_BP_DIRECT	300005864$GO:0032259~methylation,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
GOTERM_MF_DIRECT	460001620$GO:0008168~methyltransferase activity,460001927$GO:0008757~S-adenosylmethionine-dependent methyltransferase activity,
INTERPRO	530006155$IPR007213:Leucine carboxyl methyltransferase,530009901$IPR011610:S-adenosyl-L-methionine-dependent methyltransferase, putative,
UP_KEYWORDS	870000251$Complete proteome,870000701$Methyltransferase,870000928$Reference proteome,870000963$S-adenosyl-L-methionine,870001085$Transferase,
UP_SEQ_FEATURE	880000487$binding site:S-adenosyl-L-methionine,880044579$chain:Putative S-adenosyl-L-methionine- dependent methyltransferase Rv0145/MT0153,880085270$region of interest:S-adenosyl-L-methionine binding,

Rv0146	S-adenosylmethionine-dependent methyltransferase(Rv0146)
GOTERM_BP_DIRECT	300005864$GO:0032259~methylation,300011042$GO:0052556~positive regulation by symbiont of host immune response,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460001927$GO:0008757~S-adenosylmethionine-dependent methyltransferase activity,
INTERPRO	530006155$IPR007213:Leucine carboxyl methyltransferase,530009901$IPR011610:S-adenosyl-L-methionine-dependent methyltransferase, putative,
UP_KEYWORDS	870000251$Complete proteome,870000701$Methyltransferase,870000928$Reference proteome,870000963$S-adenosyl-L-methionine,870001085$Transferase,
UP_SEQ_FEATURE	880000487$binding site:S-adenosyl-L-methionine,880044580$chain:Putative S-adenosyl-L-methionine- dependent methyltransferase Rv0146,880085270$region of interest:S-adenosyl-L-methionine binding,

Rv0830	S-adenosylmethionine-dependent methyltransferase(Rv0830)
GOTERM_BP_DIRECT	300005864$GO:0032259~methylation,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460001620$GO:0008168~methyltransferase activity,460001927$GO:0008757~S-adenosylmethionine-dependent methyltransferase activity,
INTERPRO	530006155$IPR007213:Leucine carboxyl methyltransferase,530009901$IPR011610:S-adenosyl-L-methionine-dependent methyltransferase, putative,
UP_KEYWORDS	870000251$Complete proteome,870000701$Methyltransferase,870000928$Reference proteome,870000963$S-adenosyl-L-methionine,870001085$Transferase,
UP_SEQ_FEATURE	880000487$binding site:S-adenosyl-L-methionine,880044584$chain:Putative S-adenosyl-L-methionine- dependent methyltransferase Rv0830/MT0851,880085270$region of interest:S-adenosyl-L-methionine binding,

Rv2259	S-nitrosomycothiol reductase MscR(mscR)
GOTERM_BP_DIRECT	300003148$GO:0010127~mycothiol-dependent detoxification,300010998$GO:0052060~evasion or tolerance by symbiont of host-produced nitric oxide,300011127$GO:0055114~oxidation-reduction process,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
GOTERM_MF_DIRECT	460001672$GO:0008270~zinc ion binding,460002784$GO:0016491~oxidoreductase activity,460002820$GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,460006235$GO:0050607~mycothiol-dependent formaldehyde dehydrogenase activity,
INTERPRO	530001724$IPR002085:Alcohol dehydrogenase superfamily, zinc-type,530001930$IPR002328:Alcohol dehydrogenase, zinc-type, conserved site,530009466$IPR011032:GroES-like,530011120$IPR013149:Alcohol dehydrogenase, C-terminal,530011125$IPR013154:Alcohol dehydrogenase GroES-like,530013409$IPR016040:NAD(P)-binding domain,530015012$IPR017816:S-(hydroxymethyl)mycothiol dehydrogenase,530017482$IPR020843:Polyketide synthase, enoylreductase,
SMART	790000714$SM00829:SM00829,
UP_KEYWORDS	870000251$Complete proteome,870000691$Metal-binding,870000928$Reference proteome,870001206$Zinc,

Rv2506	TetR family transcriptional regulator(Rv2506)
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,300008136$GO:0042783~active evasion of host immune response,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
GOTERM_MF_DIRECT	460000106$GO:0000976~transcription regulatory region sequence-specific DNA binding,460000343$GO:0003700~transcription factor activity, sequence-specific DNA binding,
INTERPRO	530001362$IPR001647:DNA-binding HTH domain, TetR-type,530007736$IPR009057:Homeodomain-like,530009503$IPR011075:Tetracycline transcriptional regulator, TetR-related, C-terminal,530013309$IPR015893:Tetracycline transcriptional regulator, TetR-like, C-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870001077$Transcription,870001079$Transcription regulation,

Rv1315	UDP-N-acetylglucosamine 1-carboxyvinyltransferase(murA)
GOTERM_BP_DIRECT	300002018$GO:0007049~cell cycle,300002536$GO:0008360~regulation of cell shape,300002701$GO:0009252~peptidoglycan biosynthetic process,300004529$GO:0019277~UDP-N-acetylgalactosamine biosynthetic process,300007714$GO:0040007~growth,300010674$GO:0051301~cell division,300012874$GO:0071555~cell wall organization,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,
GOTERM_MF_DIRECT	460001930$GO:0008760~UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity,
INTERPRO	530001642$IPR001986:Enolpyruvate transferase domain,530004866$IPR005750:UDP-N-acetylglucosamine 1-carboxyvinyltransferase,530011687$IPR013792:RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta,
KEGG_PATHWAY	550041952$mtu00520:Amino sugar and nucleotide sugar metabolism,550041956$mtu00550:Peptidoglycan biosynthesis,550041998$mtu01100:Metabolic pathways,
UP_KEYWORDS	870000186$Cell cycle,870000187$Cell division,870000193$Cell shape,870000195$Cell wall biogenesis/degradation,870000251$Complete proteome,870000288$Cytoplasm,870000610$Isopeptide bond,870000815$Peptidoglycan synthesis,870000928$Reference proteome,870001085$Transferase,870001125$Ubl conjugation,
UP_SEQ_FEATURE	880000126$active site:Proton donor,880055940$chain:UDP-N-acetylglucosamine 1- carboxyvinyltransferase,

Rv0501	UDP-glucose 4-epimerase GalE(galE2)
COG_ONTOLOGY	120000033$Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000373$GO:0003824~catalytic activity,460006267$GO:0050662~coenzyme binding,
INTERPRO	530001248$IPR001509:NAD-dependent epimerase/dehydratase,530013409$IPR016040:NAD(P)-binding domain,
KEGG_PATHWAY	550041911$mtu00052:Galactose metabolism,550041952$mtu00520:Amino sugar and nucleotide sugar metabolism,550041998$mtu01100:Metabolic pathways,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063486$chain:Uncharacterized protein Rv0501/MT0522,

Rv1094	acyl-ACP desaturase DesA(desA2)
GOTERM_BP_DIRECT	300001710$GO:0006631~fatty acid metabolic process,300001711$GO:0006633~fatty acid biosynthetic process,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
